"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-25","6.26","0.73","0.0","0.0",,"44","40","   50","   60","16.1","23.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-26","4.47","0.00","0.0","0.0",,"52","43","  270","  300","10.1","18.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-27","4.47","0.00","0.0","0.0",,"56","39","  240","  250","14.1","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-28","5.14","0.00","0.0","0.0",,"61","42","  260","  250","15.0","25.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-01","5.14","0.38","0.0","0.0",,"60","44","   70","   60","13.0","17.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-02","10.51","1.86","0.0","0.0",,"44","34","   50","  360","21.0","35.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-03","11.18","0.00","0.0","0.0",,"49","36","   30","   30","25.1","42.9",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-04","9.62","0.00","0.0","0.0",,"44","34","   20","   10","21.9","31.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-05","7.16","0.00","0.0","0.0",,"43","33","   40","   40","16.1","25.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-06","4.70","0.00","0.0","0.0",,"47","32","  160","  170","15.0","23.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-07","10.07","1.41","3.2","0.0",,"39","33","   60","   70","21.9","35.1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-08","6.04","0.00","0.0","3.1",,"39","33","  280","  280","14.1","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-09","7.83","0.00","0.0","2.0",,"42","30","  270","  260","17.0","25.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-10","8.50","0.00","0.0","0.0",,"40","31","  280","  270","17.0","25.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-11","5.37","0.00","0.0","0.0",,"45","32","  310","  310","13.0","19.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-12","8.50","0.08","0.0","0.0",,"43","32","   70","   50","17.0","23.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-13","8.50","0.28","0.0","0.0",,"40","33","  290","  280","16.1","28.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-14","10.96","0.01","0.0","0.0",,"41","31","  260","  250","19.9","31.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-15","10.07","0.00","0.0","0.0",,"48","32","  250","  280","17.0","31.1",,,,,
